Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-03 00:00:00+02:00,5.639999866485596,6.0,5.639999866485596,5.829999923706055,553988,0.0,0.0,0.0
2021-01-04 00:00:00+02:00,5.829999923706055,6.179999828338623,5.900000095367432,6.050000190734863,929900,0.0,0.0,0.0
2021-01-05 00:00:00+02:00,6.050000190734863,6.239999771118164,5.929999828338623,6.119999885559082,966839,0.0,0.0,0.0
2021-01-06 00:00:00+02:00,6.119999885559082,6.260000228881836,6.03000020980835,6.170000076293945,751478,0.0,0.0,0.0
2021-01-10 00:00:00+02:00,6.170000076293945,6.320000171661377,6.190000057220459,6.239999771118164,835831,0.0,0.0,0.0
2021-01-11 00:00:00+02:00,6.239999771118164,6.360000133514404,6.110000133514404,6.21999979019165,587336,0.0,0.0,0.0
2021-01-12 00:00:00+02:00,6.21999979019165,6.630000114440918,6.139999866485596,6.409999847412109,1932295,0.0,0.0,0.0
2021-01-13 00:00:00+02:00,6.409999847412109,6.670000076293945,6.449999809265137,6.539999961853027,1488098,0.0,0.0,0.0
2021-01-14 00:00:00+02:00,6.539999961853027,6.619999885559082,6.380000114440918,6.46999979019165,772344,0.0,0.0,0.0
2021-01-17 00:00:00+02:00,6.46999979019165,6.5,6.289999961853027,6.369999885559082,628663,0.0,0.0,0.0
2021-01-18 00:00:00+02:00,6.369999885559082,6.449999809265137,6.210000038146973,6.329999923706055,554483,0.0,0.0,0.0
2021-01-19 00:00:00+02:00,6.329999923706055,6.679999828338623,6.269999980926514,6.489999771118164,1053211,0.0,0.0,0.0
2021-01-20 00:00:00+02:00,6.489999771118164,6.800000190734863,6.539999961853027,6.670000076293945,847400,0.0,0.0,0.0
2021-01-21 00:00:00+02:00,6.670000076293945,6.739999771118164,6.510000228881836,6.590000152587891,476945,0.0,0.0,0.0
2021-01-24 00:00:00+02:00,6.590000152587891,7.0,6.519999980926514,6.829999923706055,1570775,0.0,0.0,0.0
2021-01-25 00:00:00+02:00,6.829999923706055,6.829999923706055,6.829999923706055,6.829999923706055,0,0.0,0.0,0.0
2021-01-26 00:00:00+02:00,7.050000190734863,7.289999961853027,6.900000095367432,7.119999885559082,1725341,0.0,0.0,0.0
2021-01-27 00:00:00+02:00,7.119999885559082,7.679999828338623,7.099999904632568,7.199999809265137,1285037,0.0,0.0,0.0
2021-01-31 00:00:00+02:00,7.199999809265137,7.199999809265137,6.909999847412109,7.059999942779541,1378602,0.0,0.0,0.0
2021-02-01 00:00:00+02:00,7.059999942779541,7.260000228881836,7.010000228881836,7.110000133514404,860451,0.0,0.0,0.0
2021-02-02 00:00:00+02:00,7.110000133514404,7.150000095367432,6.809999942779541,6.980000019073486,1020374,0.0,0.0,0.0
2021-02-03 00:00:00+02:00,6.980000019073486,7.0,6.690000057220459,6.789999961853027,711725,0.0,0.0,0.0
2021-02-04 00:00:00+02:00,6.789999961853027,6.829999923706055,6.5,6.619999885559082,748234,0.0,0.0,0.0
2021-02-07 00:00:00+02:00,6.619999885559082,6.800000190734863,6.519999980926514,6.659999847412109,617628,0.0,0.0,0.0
2021-02-08 00:00:00+02:00,6.659999847412109,6.769999980926514,6.300000190734863,6.5,783035,0.0,0.0,0.0
2021-02-09 00:00:00+02:00,6.5,6.699999809265137,6.349999904632568,6.570000171661377,384394,0.0,0.0,0.0
2021-02-10 00:00:00+02:00,6.570000171661377,6.78000020980835,6.599999904632568,6.71999979019165,397735,0.0,0.0,0.0
2021-02-11 00:00:00+02:00,6.71999979019165,6.849999904632568,6.550000190734863,6.670000076293945,217532,0.0,0.0,0.0
2021-02-14 00:00:00+02:00,6.670000076293945,6.889999866485596,6.559999942779541,6.71999979019165,411761,0.0,0.0,0.0
2021-02-15 00:00:00+02:00,6.71999979019165,6.679999828338623,6.449999809265137,6.539999961853027,102731,0.0,0.0,0.0
2021-02-16 00:00:00+02:00,6.539999961853027,6.650000095367432,6.420000076293945,6.5,149062,0.0,0.0,0.0
2021-02-17 00:00:00+02:00,6.5,6.5,6.050000190734863,6.239999771118164,518539,0.0,0.0,0.0
2021-02-18 00:00:00+02:00,6.239999771118164,6.300000190734863,6.019999980926514,6.150000095367432,286302,0.0,0.0,0.0
2021-02-21 00:00:00+02:00,6.150000095367432,6.400000095367432,6.210000038146973,6.309999942779541,136545,0.0,0.0,0.0
2021-02-22 00:00:00+02:00,6.309999942779541,6.389999866485596,6.170000076293945,6.210000038146973,145485,0.0,0.0,0.0
