Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-03 00:00:00+02:00,2.884999990463257,2.7200000286102295,2.6050000190734863,2.884999990463257,8320,0.0,0.0,0.0
2021-01-04 00:00:00+02:00,2.884999990463257,2.7100000381469727,2.6050000190734863,2.884999990463257,11880,0.0,0.0,0.0
2021-01-05 00:00:00+02:00,2.884999990463257,2.7049999237060547,2.6050000190734863,2.884999990463257,17490,0.0,0.0,0.0
2021-01-06 00:00:00+02:00,2.884999990463257,2.690000057220459,2.6050000190734863,2.884999990463257,13032,0.0,0.0,0.0
2021-01-10 00:00:00+02:00,2.884999990463257,2.625,2.625,2.884999990463257,1646,0.0,0.0,0.0
2021-01-11 00:00:00+02:00,2.884999990463257,2.5999999046325684,2.5999999046325684,2.884999990463257,10000,0.0,0.0,0.0
2021-01-12 00:00:00+02:00,2.884999990463257,2.5999999046325684,2.5999999046325684,2.884999990463257,28800,0.0,0.0,0.0
2021-01-13 00:00:00+02:00,2.884999990463257,2.5999999046325684,2.5999999046325684,2.884999990463257,3994,0.0,0.0,0.0
2021-01-14 00:00:00+02:00,2.884999990463257,2.684999942779541,2.640000104904175,2.884999990463257,8878,0.0,0.0,0.0
2021-01-17 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-01-18 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-01-19 00:00:00+02:00,2.884999990463257,2.6500000953674316,2.609999895095825,2.884999990463257,8000,0.0,0.0,0.0
2021-01-20 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-01-21 00:00:00+02:00,2.884999990463257,2.5999999046325684,2.5999999046325684,2.884999990463257,8000,0.0,0.0,0.0
2021-01-24 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-01-25 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-01-26 00:00:00+02:00,2.884999990463257,2.694999933242798,2.5999999046325684,2.884999990463257,29200,0.0,0.0,0.0
2021-01-27 00:00:00+02:00,2.884999990463257,2.694999933242798,2.5999999046325684,2.884999990463257,2400,0.0,0.0,0.0
2021-01-31 00:00:00+02:00,2.884999990463257,2.884999990463257,2.884999990463257,2.884999990463257,0,0.0,0.0,0.0
2021-02-01 00:00:00+02:00,2.884999990463257,2.684999942779541,2.5999999046325684,2.884999990463257,22500,0.0,0.0,0.0
2021-02-02 00:00:00+02:00,2.884999990463257,2.6500000953674316,2.6500000953674316,2.884999990463257,16000,0.0,0.0,0.0
2021-02-03 00:00:00+02:00,2.884999990463257,2.694999933242798,2.5999999046325684,2.884999990463257,33200,0.0,0.0,0.0
2021-02-04 00:00:00+02:00,2.884999990463257,2.75,2.674999952316284,2.884999990463257,7232,0.0,0.0,0.0
2021-02-07 00:00:00+02:00,2.884999990463257,2.75,2.6500000953674316,2.884999990463257,7600,0.0,0.0,0.0
2021-02-08 00:00:00+02:00,2.884999990463257,3.1700000762939453,2.8499999046325684,3.0950000286102295,117844,0.0,0.0,0.0
2021-02-09 00:00:00+02:00,3.0950000286102295,3.3949999809265137,3.125,3.2300000190734863,95498,0.0,0.0,0.0
2021-02-10 00:00:00+02:00,3.2300000190734863,3.549999952316284,3.180000066757202,3.450000047683716,200186,0.0,0.0,0.0
2021-02-11 00:00:00+02:00,3.450000047683716,3.7950000762939453,3.5,3.7149999141693115,117240,0.0,0.0,0.0
2021-02-14 00:00:00+02:00,3.7149999141693115,4.085000038146973,3.8949999809265137,4.079999923706055,282386,0.0,0.0,0.0
2021-02-15 00:00:00+02:00,4.079999923706055,4.079999923706055,3.700000047683716,3.809999942779541,125506,0.0,0.0,0.0
2021-02-16 00:00:00+02:00,3.809999942779541,3.9149999618530273,3.5299999713897705,3.7300000190734863,45764,0.0,0.0,0.0
2021-02-17 00:00:00+02:00,3.7300000190734863,3.700000047683716,3.384999990463257,3.4600000381469727,76124,0.0,0.0,0.0
2021-02-18 00:00:00+02:00,3.4600000381469727,3.805000066757202,3.375,3.7149999141693115,136242,0.0,0.0,0.0
2021-02-21 00:00:00+02:00,3.7149999141693115,4.085000038146973,3.805000066757202,3.950000047683716,111086,0.0,0.0,0.0
