country,name,full_name,isin,currency,symbol
egypt,Rakta Paper,Rakta Paper Manufacturing,EGS36021C011,EGP,RAKT
egypt,Raya Holding,Raya Holding for Financial Investment SAE,EGS690C1C010,EGP,RAYA
egypt,Rowad Tourism,Rowad Tourism Co SAE,EGS70281C018,EGP,ROTO
egypt,Rubex Plastics,Rubex Plastics,EGS3A221C018,EGP,RUBX
egypt,Al Baraka Bank,Al Baraka Bank Egypt,EGS60101C010,EGP,SAUD
egypt,Paper Middle East,Paper Middle East SAE,EGS36091C014,EGP,SIMO
egypt,Samad Misr-EGYFERT,Samad Misr -EGYFERT,EGS51191C012,EGP,SMFR
egypt,Sharkia National Food,Sharkia National Food,EGS30291C016,EGP,SNFC
egypt,SPINALEX,Alexandria Spinning & Weaving,EGS32041C013,EGP,SPIN
egypt,Delta Sugar,Delta Sugar,EGS30201C015,EGP,SUGR
egypt,TransOceans Tours,TransOceans Tours,EGS79072C012,USD,TRTO
egypt,United Arab Shipping,United Arab Shipping,EGS47021C018,EGP,UASG
egypt,Universal Co Packaging,Universal Co Packaging Materials,EGS38161C013,EGP,UNIP
egypt,United Housing&Develop,United Housing & Development,EGS65061C011,EGP,UNIT
egypt,Extracted Oils,Extracted Oils,EGS38251C012,EGP,ZEOT
egypt,Zahraa Maadi,Zahraa Maadi Investment&Development,EGS21171C011,EGP,ZMID
egypt,Abou Kir Fertilizers,Abou Kir Fertilizers,EGS38191C010,EGP,ABUK
egypt,Misr Beni Suef Cement,Misr Beni Suef Cement,EGS3C371C019,EGP,MBSC
egypt,Misr Cement,Misr Cement Co ESC,EGS3C391C017,EGP,MCQE
egypt,Alexandria Flour Mills,Alexandria Flour Mills,EGS30471C014,EGP,AFMC
egypt,Misr Duty,Misr Duty Free Shops,EGS53051C016,EGP,MFSC
egypt,Al Arafa Inv,Al Arafa Investment & Consultancies,EGS672I2C014,USD,AIVC
egypt,Misr Hotels,Misr Hotels,EGS70081C012,EGP,MHOT
egypt,Alexandria Mineral Oils,Alexandria Mineral Oils Company,EGS380P1C010,EGP,AMOC
egypt,North Cairo Mills,North Cairo Mills,EGS30361C017,EGP,MILS
egypt,Mohandes Insurance,Mohandes Insurance,EGS63041C015,EGP,MOIN
egypt,Alexandria Pharma,Alexandria Pharmaceuticals,EGS38341C011,EGP,AXPH
egypt,Glaxo Smith Kline,Glaxo Smith Kline,EGS38171C012,EGP,BIOC
egypt,Suez Canal Bank,Suez Canal Bank,EGS60231C015,EGP,CANA
egypt,Credit Agricole Egypt,Credit Agricole Egypt,EGS60041C018,EGP,CIEB
egypt,Nile Pharma,Nile Pharmaceuticals,EGS38331C012,EGP,NIPH
egypt,Cairo Pharma,Cairo Pharmaceuticals,EGS38391C016,EGP,CPCI
egypt,Qatar Natl Bank,Qatar Natl Bank,EGS60081C014,EGP,QNBA
egypt,Delta Insurance,Delta Insurance,EGS63031C016,EGP,DEIN
egypt,Eastern Tobacco,Eastern Tobacco,EGS37091C013,EGP,EAST
egypt,East Delta Flour Mills,East Delta Flour Mills,EGS30351C018,EGP,EDFM
egypt,Pachin,Paint & Chemicals Industries,EGS38311C014,EGP,PACH
egypt,Egypt Gas,Natural Gas & Mining Project,EGS39011C019,EGP,EGAS
egypt,EIPICO,Egyptian International Pharma,EGS38081C013,EGP,PHAR
egypt,Egyptian Gulf Bank,Egyptian Gulf Bank,EGS60182C010,USD,EGBE
egypt,Kima,Egyptian Chemical Industries,EGS38201C017,EGP,EGCH
egypt,Pyramisa Hotels,Pyramisa Hotels,EGS70331C011,EGP,PHTV
egypt,Prime Holding,Prime Holding,EGS691A1C011,EGP,PRMH
egypt,SAIB,Societe Arabe Internationale Banque,EGS60142C014,USD,SAIB
egypt,Egyptian Starch&Glucose,Egyptian Starch & Glucose,EGS30431C018,EGP,ESGI
egypt,Sinai Cement,Sinai Cement,EGS3C401C014,EGP,SCEM
egypt,S.Cairo&Giza Mills&Bakeries,South Cairo & Giza Mills & Bakeries,EGS30411C010,EGP,SCFM
egypt,Saudi Egyptian Inv&Fin,Saudi Egyptian Investment & Finance,EGS67031C012,EGP,SEIG
egypt,EDBE,Export Development Bank of Egypt,EGS60241C014,EGP,EXPA
egypt,Faisal Islamic Bank of Egypt,Faisal Islamic Bank of Egypt - EGP,EGS60321C014,EGP,FAIT
egypt,General Silos&Storage,General Silos & Storage,EGS30441C017,EGP,GSSC
egypt,Torah Cement,Torah Cement,EGS3C311C015,EGP,TORA
egypt,Upper Egypt Flour Mills,Upper Egypt Flour Mills,EGS30451C016,EGP,UEFM
egypt,EL Ezz Aldekhela Steel,EL Ezz Aldekhela Steel - Alexandria,EGS3D041C017,EGP,IRAX
